Time,Position/LatitudeDegrees,Position/LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm/Value
2019-09-28T18:10:09.000+02:00,46.866708278656006,19.88788330554962,121.3,8920.160000000002,179
2019-09-28T18:10:10.000+02:00,46.86670994758606,19.88784658908844,120.6,8923.210000000001,178
2019-09-28T18:10:11.000+02:00,46.86671328544617,19.88780665397644,120.3,8926.09,178
2019-09-28T18:10:12.000+02:00,46.86671495437622,19.887764930725098,120.0,8929.0,178
2019-09-28T18:10:13.000+02:00,46.86671829223633,19.887723326683044,119.8,8932.0,178
2019-09-28T18:10:14.000+02:00,46.86671996116638,19.88767659664154,119.3,8935.04,178
2019-09-28T18:10:15.000+02:00,46.8667266368866,19.88763165473938,119.3,8938.170000000002,176
2019-09-28T18:10:16.000+02:00,46.86672830581665,19.887593269348145,118.8,8941.35,176
2019-09-28T18:10:17.000+02:00,46.86673164367676,19.887556552886963,119.1,8944.48,176
2019-09-28T18:10:18.000+02:00,46.86673665046692,19.887511610984802,119.0,8947.570000000002,176
2019-09-28T18:10:19.000+02:00,46.86673831939697,19.887473225593567,119.1,8950.690000000002,176
2019-09-28T18:10:20.000+02:00,46.86674666404724,19.887431621551514,119.3,8953.800000000001,179
2019-09-28T18:10:21.000+02:00,46.86674988269806,19.887391567230225,119.6,8956.930000000002,179
2019-09-28T18:10:22.000+02:00,46.86675155162811,19.88734996318817,119.8,8960.050000000001,179
2019-09-28T18:10:23.000+02:00,46.86675488948822,19.887311577796936,120.3,8963.16,179
2019-09-28T18:10:24.000+02:00,46.86675989627838,19.887274980545044,120.8,8966.240000000002,179
2019-09-28T18:10:25.000+02:00,46.86676490306854,19.887238264083862,121.3,8969.28,176
2019-09-28T18:10:26.000+02:00,46.866769909858704,19.88720154762268,121.6,8972.29,176
2019-09-28T18:10:27.000+02:00,46.86677324771881,19.88716495037079,121.8,8975.29,176
2019-09-28T18:10:28.000+02:00,46.86677825450897,19.887123227119446,122.1,8978.26,176
2019-09-28T18:10:29.000+02:00,46.866779923439026,19.887083292007446,122.3,8981.250000000002,176
2019-09-28T18:10:30.000+02:00,46.86678659915924,19.88704490661621,122.6,8984.240000000002,176
2019-09-28T18:10:31.000+02:00,46.8667916059494,19.887003302574158,122.5,8987.250000000002,176
2019-09-28T18:10:32.000+02:00,46.86679661273956,19.886966586112976,122.3,8990.28,176
2019-09-28T18:10:33.000+02:00,46.86680495738983,19.886924982070923,121.8,8993.28,176
2019-09-28T18:10:34.000+02:00,46.866811633110046,19.886884927749634,121.8,8996.320000000002,176
2019-09-28T18:10:35.000+02:00,46.866819977760315,19.886846661567688,121.8,8999.36,177
2019-09-28T18:10:35.208+02:00,46.86682102152113,19.886837963560893,121.73745928338772,9000.0,177
2019-09-28T18:10:36.000+02:00,46.866824984550476,19.886804938316345,121.5,9002.43,177
2019-09-28T18:10:37.000+02:00,46.866833329200745,19.886768221855164,121.0,9005.500000000002,177
2019-09-28T18:10:38.000+02:00,46.866838216781616,19.886728286743164,120.6,9008.54,177
2019-09-28T18:10:39.000+02:00,46.86684322357178,19.88668990135193,120.1,9011.59,177
2019-09-28T18:10:40.000+02:00,46.866846561431885,19.88664996623993,119.6,9014.630000000001,178
2019-09-28T18:10:41.000+02:00,46.866851568222046,19.886608242988586,119.8,9017.660000000002,178
2019-09-28T18:10:42.000+02:00,46.86685657501221,19.886566638946533,119.8,9020.720000000001,178
2019-09-28T18:10:43.000+02:00,46.86686158180237,19.886528253555298,119.8,9023.810000000001,178
2019-09-28T18:10:44.000+02:00,46.86686658859253,19.886486649513245,119.8,9026.89,178
2019-09-28T18:10:45.000+02:00,46.86686992645264,19.886446595191956,120.0,9029.990000000002,175
2019-09-28T18:10:46.000+02:00,46.8668749332428,19.88640832901001,120.3,9033.07,175
2019-09-28T18:10:47.000+02:00,46.86687660217285,19.88636827468872,120.6,9036.140000000001,175
2019-09-28T18:10:48.000+02:00,46.86688494682312,19.886326551437378,120.8,9039.210000000001,175
2019-09-28T18:10:49.000+02:00,46.86688828468323,19.886284947395325,121.0,9042.300000000001,175
2019-09-28T18:10:50.000+02:00,46.86688995361328,19.886243224143982,121.3,9045.400000000001,178
2019-09-28T18:10:51.000+02:00,46.86689329147339,19.88620662689209,121.8,9048.51,178
2019-09-28T18:10:52.000+02:00,46.86689329147339,19.886169910430908,122.1,9051.57,178
2019-09-28T18:10:53.000+02:00,46.86689829826355,19.886136651039124,122.1,9054.59,178
2019-09-28T18:10:54.000+02:00,46.86689829826355,19.886099934577942,122.1,9057.54,178
2019-09-28T18:10:55.000+02:00,46.86689829826355,19.88606822490692,122.6,9060.440000000002,176
2019-09-28T18:10:56.000+02:00,46.86689829826355,19.88603162765503,123.0,9063.25,176
2019-09-28T18:10:57.000+02:00,46.86689829826355,19.885993242263794,123.1,9066.070000000002,176
2019-09-28T18:10:58.000+02:00,46.86690330505371,19.88595163822174,122.8,9068.91,176
2019-09-28T18:10:59.000+02:00,46.86690831184387,19.88591158390045,122.8,9071.810000000001,176
2019-09-28T18:11:00.000+02:00,46.86691164970398,19.8858699798584,122.3,9074.730000000001,177
2019-09-28T18:11:01.000+02:00,46.866918325424194,19.885828256607056,122.1,9077.68,177
2019-09-28T18:11:02.000+02:00,46.8669216632843,19.885791659355164,121.8,9080.68,177
2019-09-28T18:11:03.000+02:00,46.86692655086517,19.885754942893982,121.6,9083.65,177
2019-09-28T18:11:04.000+02:00,46.866931557655334,19.8857182264328,121.5,9086.6,177
2019-09-28T18:11:05.000+02:00,46.86693489551544,19.885681629180908,121.3,9089.52,175
2019-09-28T18:11:06.000+02:00,46.866936564445496,19.885644912719727,121.8,9092.43,175
2019-09-28T18:11:07.000+02:00,46.8669399023056,19.88560664653778,122.1,9095.310000000001,175
2019-09-28T18:11:08.000+02:00,46.866944909095764,19.8855699300766,122.3,9098.21,175
2019-09-28T18:11:09.000+02:00,46.86694824695587,19.885528326034546,122.5,9101.11,175
2019-09-28T18:11:10.000+02:00,46.86695325374603,19.885488271713257,122.3,9104.04,170
2019-09-28T18:11:11.000+02:00,46.866954922676086,19.88544988632202,122.3,9106.990000000002,170
2019-09-28T18:11:12.000+02:00,46.866958260536194,19.88540828227997,122.3,9109.95,170
